Eurovision Song Contest 2 16 Grand Final,Eurovision Song Contest 2 16 Grand Final,,,,,
Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
2 17,f,2 17f,T,Finland,Italy,8
2 17,f,2 17f,T,Finland,Moldova,5
2 17,f,2 17f,T,Finland,Norway,2
2 17,f,2 17f,T,Finland,Poland,0
2 17,f,2 17f,T,Finland,Portugal,12
2 17,f,2 17f,T,Finland,Romania,3
2 17,f,2 17f,T,Finland,Spain,0
2 17,f,2 17f,T,Finland,Sweden,6
2 17,f,2 17f,T,Finland,Netherlands,0
2 17,f,2 17f,T,Finland,Ukraine,0
2 17,f,2 17f,T,Finland,United Kingdom,0
2 17,f,2 17f,T,France,Armenia,6
2 17,f,2 17f,T,France,Australia,0
2 17,f,2 17f,T,France,Austria,0
2 17,f,2 17f,T,France,Azerbaijan,0
2 17,f,2 17f,T,France,Belarus,0
2 17,f,2 17f,T,France,Belgium,8
2 17,f,2 17f,T,France,Bulgaria,4
2 17,f,2 17f,T,France,Croatia,0
2 17,f,2 17f,T,France,Cyprus,0
2 17,f,2 17f,T,France,Denmark,0
2 17,f,2 17f,T,France,Germany,0
2 17,f,2 17f,T,France,Greece,0
2 17,f,2 17f,T,France,Hungary,2
2 17,f,2 17f,T,France,Israel,3
2 17,f,2 17f,T,France,Italy,5
2 17,f,2 17f,T,France,Moldova,7
2 17,f,2 17f,T,France,Norway,0
2 17,f,2 17f,T,France,Poland,1
2 17,f,2 17f,T,France,Portugal,12
2 17,f,2 17f,T,France,Romania,1
2 17,f,2 17f,T,France,Spain,0
2 17,f,2 17f,T,France,Sweden,0
2 17,f,2 17f,T,France,Netherlands,0
2 17,f,2 17f,T,France,Ukraine,0
2 17,f,2 17f,T,France,United Kingdom,0
2 17,f,2 17f,T,Georgia,Armenia,1
2 17,f,2 17f,T,Georgia,Australia,0
2 17,f,2 17f,T,Georgia,Austria,0
2 17,f,2 17f,T,Georgia,Azerbaijan,12
2 17,f,2 17f,T,Georgia,Belarus,6
2 17,f,2 17f,T,Georgia,Belgium,0
2 17,f,2 17f,T,Georgia,Bulgaria,7
2 17,f,2 17f,T,Georgia,Croatia,0
2 17,f,2 17f,T,Georgia,Cyprus,2
2 17,f,2 17f,T,Georgia,Denmark,0
2 17,f,2 17f,T,Georgia,France,3
2 17,f,2 17f,T,Georgia,Germany,0
2 17,f,2 17f,T,Georgia,Greece,0
2 17,f,2 17f,T,Georgia,Hungary,0
2 17,f,2 17f,T,Georgia,Israel,0
2 17,f,2 17f,T,Georgia,Italy,5
2 17,f,2 17f,T,Georgia,Moldova,0
2 17,f,2 17f,T,Georgia,Norway,0
2 17,f,2 17f,T,Georgia,Poland,0
2 17,f,2 17f,T,Georgia,Portugal,8
2 17,f,2 17f,T,Georgia,Romania,0
2 17,f,2 17f,T,Georgia,Spain,0
2 17,f,2 17f,T,Georgia,Sweden,1
2 17,f,2 17f,T,Georgia,Netherlands,0
2 17,f,2 17f,T,Georgia,Ukraine,4
2 17,f,2 17f,T,Georgia,United Kingdom,0
2 17,f,2 17f,T,Germany,Armenia,0
2 17,f,2 17f,T,Germany,Australia,0
2 17,f,2 17f,T,Germany,Austria,0
2 17,f,2 17f,T,Germany,Azerbaijan,0
2 17,f,2 17f,T,Germany,Belarus,0
2 17,f,2 17f,T,Germany,Belgium,1
2 17,f,2 17f,T,Germany,Bulgaria,5
2 17,f,2 17f,T,Germany,Croatia,8
2 17,f,2 17f,T,Germany,Cyprus,0
2 17,f,2 17f,T,Germany,Denmark,0
2 17,f,2 17f,T,Germany,France,0
2 17,f,2 17f,T,Germany,Greece,0
2 17,f,2 17f,T,Germany,Hungary,3
2 17,f,2 17f,T,Germany,Israel,0
2 17,f,2 17f,T,Germany,Italy,4
2 17,f,2 17f,T,Germany,Moldova,7
2 17,f,2 17f,T,Germany,Norway,0
2 17,f,2 17f,T,Germany,Poland,2
2 17,f,2 17f,T,Germany,Portugal,12
2 17,f,2 17f,T,Germany,Romania,6
2 17,f,2 17f,T,Germany,Spain,0
2 17,f,2 17f,T,Germany,Sweden,0
2 17,f,2 17f,T,Germany,Netherlands,1
2 17,f,2 17f,T,Germany,Ukraine,0
2 17,f,2 17f,T,Germany,United Kingdom,0
2 17,f,2 17f,T,Greece,Armenia,2
2 17,f,2 17f,T,Greece,Australia,0
2 17,f,2 17f,T,Greece,Austria,0
2 17,f,2 17f,T,Greece,Azerbaijan,0
2 17,f,2 17f,T,Greece,Belarus,0
2 17,f,2 17f,T,Greece,Belgium,5
2 17,f,2 17f,T,Greece,Bulgaria,1
2 17,f,2 17f,T,Greece,Croatia,0
2 17,f,2 17f,T,Greece,Cyprus,12
2 17,f,2 17f,T,Greece,Denmark,0
2 17,f,2 17f,T,Greece,France,4
2 17,f,2 17f,T,Greece,Germany,0
2 17,f,2 17f,T,Greece,Hungary,0
2 17,f,2 17f,T,Greece,Israel,0
2 17,f,2 17f,T,Greece,Italy,7
2 17,f,2 17f,T,Greece,Moldova,6
2 17,f,2 17f,T,Greece,Norway,0
2 17,f,2 17f,T,Greece,Poland,0
2 17,f,2 17f,T,Greece,Portugal,8
2 17,f,2 17f,T,Greece,Romania,1
2 17,f,2 17f,T,Greece,Spain,0
2 17,f,2 17f,T,Greece,Sweden,3
2 17,f,2 17f,T,Greece,Netherlands,0
2 17,f,2 17f,T,Greece,Ukraine,0
2 17,f,2 17f,T,Greece,United Kingdom,0
2 17,f,2 17f,T,Hungary,Armenia,0
2 17,f,2 17f,T,Hungary,Australia,0
2 17,f,2 17f,T,Hungary,Austria,0
2 17,f,2 17f,T,Hungary,Azerbaijan,0
2 17,f,2 17f,T,Hungary,Belarus,0
2 17,f,2 17f,T,Hungary,Belgium,8
2 17,f,2 17f,T,Hungary,Bulgaria,12
2 17,f,2 17f,T,Hungary,Croatia,5
2 17,f,2 17f,T,Hungary,Cyprus,2
2 17,f,2 17f,T,Hungary,Denmark,0
2 17,f,2 17f,T,Hungary,France,1
2 17,f,2 17f,T,Hungary,Germany,0
2 17,f,2 17f,T,Hungary,Greece,0
2 17,f,2 17f,T,Hungary,Israel,0
2 17,f,2 17f,T,Hungary,Italy,4
2 17,f,2 17f,T,Hungary,Moldova,1
2 17,f,2 17f,T,Hungary,Norway,0
2 17,f,2 17f,T,Hungary,Poland,0
2 17,f,2 17f,T,Hungary,Portugal,7
2 17,f,2 17f,T,Hungary,Romania,6
2 17,f,2 17f,T,Hungary,Spain,0
2 17,f,2 17f,T,Hungary,Sweden,3
2 17,f,2 17f,T,Hungary,Netherlands,0
2 17,f,2 17f,T,Hungary,Ukraine,0
2 17,f,2 17f,T,Hungary,United Kingdom,0
2 17,f,2 17f,T,Iceland,Armenia,0
2 17,f,2 17f,T,Iceland,Australia,0
2 17,f,2 17f,T,Iceland,Austria,0
2 17,f,2 17f,T,Iceland,Azerbaijan,0
2 17,f,2 17f,T,Iceland,Belarus,0
2 17,f,2 17f,T,Iceland,Belgium,1
2 17,f,2 17f,T,Iceland,Bulgaria,4
2 17,f,2 17f,T,Iceland,Croatia,0
2 17,f,2 17f,T,Iceland,Cyprus,0
2 17,f,2 17f,T,Iceland,Denmark,0
2 17,f,2 17f,T,Iceland,France,0
2 17,f,2 17f,T,Iceland,Germany,0
2 17,f,2 17f,T,Iceland,Greece,0
2 17,f,2 17f,T,Iceland,Hungary,2
2 17,f,2 17f,T,Iceland,Israel,0
2 17,f,2 17f,T,Iceland,Italy,7
2 17,f,2 17f,T,Iceland,Moldova,6
2 17,f,2 17f,T,Iceland,Norway,1
2 17,f,2 17f,T,Iceland,Poland,3
2 17,f,2 17f,T,Iceland,Portugal,12
2 17,f,2 17f,T,Iceland,Romania,5
2 17,f,2 17f,T,Iceland,Spain,0
2 17,f,2 17f,T,Iceland,Sweden,8
2 17,f,2 17f,T,Iceland,Netherlands,0
2 17,f,2 17f,T,Iceland,Ukraine,0
2 17,f,2 17f,T,Iceland,United Kingdom,0
2 17,f,2 17f,T,Ireland,Armenia,0
2 17,f,2 17f,T,Ireland,Australia,0
2 17,f,2 17f,T,Ireland,Austria,0
2 17,f,2 17f,T,Ireland,Azerbaijan,0
2 17,f,2 17f,T,Ireland,Belarus,0
2 17,f,2 17f,T,Ireland,Belgium,5
2 17,f,2 17f,T,Ireland,Bulgaria,6
2 17,f,2 17f,T,Ireland,Croatia,3
2 17,f,2 17f,T,Ireland,Cyprus,0
2 17,f,2 17f,T,Ireland,Denmark,0
2 17,f,2 17f,T,Ireland,France,0
